Single Image Frame,x00,y00,z00,x01,y01,z01,x02,y02,z02,x03,y03,z03,x04,y04,z04,x05,y05,z05,x06,y06,z06,x07,y07,z07,x08,y08,z08,x09,y09,z09,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Label
D:\Thesis\Sarwar\Sign 6\Image frames\Sign_6 - Frame (1).jpg,0.4915716648,0.6040293574,-7.67E-05,0.4680085182,0.4895986319,-0.0650370568,0.4936010838,0.3834291697,-0.09419705719,0.5200400949,0.2981942296,-0.116199635,0.5285959244,0.2181905955,-0.128473863,0.608920455,0.4222068787,-0.08077664673,0.6739698052,0.3796039224,-0.1505072415,0.6224685907,0.4336591959,-0.1672912985,0.5747543573,0.4748200774,-0.1614703387,0.6342017055,0.4944395721,-0.0754173249,0.7040101886,0.4569922686,-0.1714262813,0.6343758702,0.499800384,-0.1962599903,0.583362639,0.5243326426,-0.1833551526,0.6433555484,0.5632352829,-0.07739716023,0.7049284577,0.5447294116,-0.1607818305,0.6299814582,0.5708962083,-0.1785206348,0.5779288411,0.5851441622,-0.162664324,0.6425846219,0.6252138615,-0.08357506245,0.6810795069,0.6291239262,-0.1458258927,0.6295182705,0.6328034401,-0.1655167192,0.588861227,0.6292921305,-0.1602484882,6
D:\Thesis\Sarwar\Sign 6\Image frames\Sign_6 - Frame (2).jpg,0.4833956063,0.613419354,-7.48E-05,0.4609060287,0.4959570765,-0.06982441247,0.4903390408,0.3872641921,-0.1010937318,0.5202495456,0.3010628223,-0.1257931441,0.5319726467,0.2154961079,-0.1421209872,0.6095172167,0.4225938022,-0.06985481083,0.6755319834,0.3795035481,-0.1433600783,0.6224948168,0.4364351034,-0.1672621369,0.574078083,0.4803908169,-0.1651043147,0.6359810233,0.4946280122,-0.06398480386,0.7080800533,0.4549697936,-0.1577959508,0.6367484331,0.49979496,-0.1862816513,0.5838557482,0.5264363885,-0.1766507179,0.6454338431,0.563876152,-0.06760232151,0.7084489465,0.5422635674,-0.1528035849,0.6316267848,0.5687151551,-0.1745462865,0.5771553516,0.5836699605,-0.15975371,0.6439720392,0.6284062862,-0.075480856,0.6815660596,0.6271007657,-0.1401861757,0.6294189692,0.630007863,-0.1601507664,0.5895005465,0.6264587045,-0.1523935944,6
D:\Thesis\Sarwar\Sign 6\Image frames\Sign_6 - Frame (3).jpg,0.4786721468,0.6181334257,-7.51E-05,0.4586684704,0.4982883334,-0.05802571028,0.4886597097,0.3888698816,-0.08152635396,0.519400537,0.3015595675,-0.1005627811,0.5335465074,0.2181454897,-0.1098755077,0.6061829329,0.4265218377,-0.05038158596,0.6754482985,0.381613791,-0.1101220176,0.6243885159,0.4379872978,-0.1268952638,0.5772386789,0.480681181,-0.1224612817,0.63230443,0.4992668033,-0.04566870257,0.7084305286,0.459053278,-0.1265490949,0.639549911,0.5036433935,-0.1499812305,0.5871897936,0.5295459032,-0.1364717335,0.6415326595,0.5680655837,-0.04869434983,0.7074769735,0.5465378761,-0.1218336895,0.6332454681,0.5732673407,-0.1393505335,0.5801972151,0.58897084,-0.1232908368,0.6397096515,0.6320836544,-0.05598165095,0.6814420819,0.6289717555,-0.1112865433,0.63094908,0.6317899823,-0.1296979785,0.5909762979,0.6297883987,-0.1222921461,6
D:\Thesis\Sarwar\Sign 6\Image frames\Sign_6 - Frame (4).jpg,0.4894336462,0.6028879881,-0.0001019887641,0.4672866464,0.4853636622,-0.06827701628,0.4922860861,0.3820214272,-0.1009628251,0.5197812319,0.2974058688,-0.125374794,0.529937923,0.2158436626,-0.137977764,0.609841764,0.4236608446,-0.08618026972,0.6736231446,0.3855420351,-0.1562199146,0.6206957698,0.4435015917,-0.1723414212,0.5735274553,0.4863610566,-0.1662159562,0.6346757412,0.4969367087,-0.07935829461,0.7059059739,0.4644435942,-0.174260065,0.6356720328,0.5082803369,-0.2018484622,0.5816534758,0.5321686864,-0.1927515417,0.6424881816,0.5647912025,-0.07942976803,0.7039750218,0.551230073,-0.1616667211,0.6285035014,0.5784944296,-0.1805480421,0.5741817355,0.592248261,-0.1663266271,0.6405235529,0.6253922582,-0.08479284495,0.680608809,0.6340808272,-0.1460845023,0.6305691004,0.637100637,-0.1663280874,0.5889282227,0.6316341162,-0.1629154682,6
D:\Thesis\Sarwar\Sign 6\Image frames\Sign_6 - Frame (5).jpg,0.4789035916,0.6200329661,-7.85E-05,0.4544199705,0.5030111074,-0.06997919083,0.4838849306,0.3914049268,-0.09979245812,0.5151052475,0.3035349548,-0.1231475472,0.5296212435,0.2215195149,-0.137657702,0.6007388234,0.425329119,-0.0686070174,0.6704140306,0.3774982691,-0.1410785913,0.6187242866,0.4340181947,-0.1656653285,0.570127666,0.477597028,-0.1651652157,0.6279914379,0.4966968298,-0.06082906947,0.7042500973,0.4527166188,-0.154382512,0.6344842911,0.4984463155,-0.1827638149,0.581184268,0.5250719786,-0.1729332358,0.6392161846,0.5661836267,-0.06276042014,0.7039610147,0.5435473323,-0.1471194327,0.6290414333,0.5723599195,-0.1700207293,0.5753755569,0.5873673558,-0.1562302113,0.6399260163,0.6299704313,-0.06862191856,0.6795989871,0.628049612,-0.132388562,0.6276448965,0.6346098185,-0.1528147757,0.5872149467,0.6323200464,-0.1453325748,6
D:\Thesis\Sarwar\Sign 6\Image frames\Sign_6 - Frame (6).jpg,0.4725232124,0.6244987845,-8.20E-05,0.4478181303,0.5037712455,-0.06229938567,0.4792630076,0.3898432255,-0.08832992613,0.510530889,0.3027932048,-0.1091738418,0.5238031149,0.2197199762,-0.1210919246,0.5984729528,0.4276243448,-0.05639708042,0.6682854295,0.3786407709,-0.1233553067,0.6151685715,0.4344861805,-0.1441881955,0.5661019683,0.4780319631,-0.1421029717,0.6248819828,0.5001535416,-0.05195380002,0.7001110911,0.4553642869,-0.1401087344,0.628862381,0.5006235838,-0.1628868878,0.5767221451,0.5280390978,-0.1492354572,0.6360411048,0.5700136423,-0.056834694,0.7008806467,0.5429959893,-0.1366277337,0.6248766184,0.5707615018,-0.1525859386,0.5720102191,0.5872332454,-0.1347312629,0.6367599964,0.6352720857,-0.06534940004,0.6777653694,0.6283642054,-0.125857681,0.6252434254,0.6327899694,-0.1438515037,0.5847909451,0.6326906085,-0.1346609592,6
D:\Thesis\Sarwar\Sign 6\Image frames\Sign_6 - Frame (7).jpg,0.4890202284,0.6049963236,-8.49E-05,0.4623076916,0.4923759103,-0.07742987573,0.4881204963,0.3891626894,-0.1154510528,0.5151736736,0.3055124283,-0.145574376,0.5240845084,0.223747775,-0.1654455662,0.604118824,0.4277619421,-0.09845712036,0.668145299,0.3877301216,-0.1767995954,0.6160082817,0.4429109991,-0.1952335238,0.5687696934,0.484479785,-0.1885851026,0.6293185949,0.500706017,-0.09065674245,0.6972925663,0.4654876292,-0.1968135685,0.6271179318,0.5094183683,-0.2262778431,0.5759613514,0.5345582366,-0.2158970684,0.6384122968,0.5691987276,-0.09158795327,0.6969473958,0.5527796149,-0.1841510236,0.6213953495,0.5785034895,-0.2054674476,0.5687431097,0.5917959213,-0.1908490956,0.6381444931,0.6300987005,-0.09731796384,0.6748970151,0.6367054582,-0.1660121977,0.6236181259,0.6396881342,-0.1868593991,0.5834648013,0.6356282234,-0.1818677932,6
D:\Thesis\Sarwar\Sign 6\Image frames\Sign_6 - Frame (8).jpg,0.4686729908,0.6315447688,-3.51E-05,0.4469155371,0.5091869831,-0.06524987519,0.4804005623,0.3934702873,-0.08920641989,0.5121482611,0.3034427166,-0.1099666432,0.5270570517,0.2188297063,-0.1249265969,0.5965642333,0.4286017418,-0.04957291484,0.6670253277,0.3830912113,-0.1161499992,0.6151459813,0.4391235411,-0.1371860951,0.5668279529,0.4808667004,-0.1352217942,0.6226281524,0.5011736155,-0.04307955876,0.7000521421,0.46123752,-0.1308991313,0.6287363768,0.5071897507,-0.1576699018,0.5755368471,0.5305016637,-0.1464310586,0.6338176131,0.5711565018,-0.04665601999,0.7013568282,0.549356699,-0.1258889586,0.6250813603,0.5763964057,-0.1470561028,0.5712097883,0.5883848667,-0.1320227385,0.6344380379,0.6352330446,-0.05398786068,0.6758329868,0.6322339773,-0.1118139774,0.6242005229,0.6373607516,-0.1315825284,0.5845624804,0.6340276003,-0.1241380349,6
D:\Thesis\Sarwar\Sign 6\Image frames\Sign_6 - Frame (9).jpg,0.4670260549,0.6215500832,-4.52E-05,0.4428002536,0.5072408319,-0.08842574805,0.4740332365,0.3991261423,-0.1266347617,0.5069436431,0.3144875169,-0.1584207118,0.5240173936,0.2276777923,-0.1894298047,0.5935768485,0.4247897565,-0.07043795288,0.6609398127,0.3854040205,-0.1607373357,0.6081474423,0.4382515252,-0.1966674477,0.5620411038,0.476821959,-0.1949311048,0.6198872924,0.4946363866,-0.05658734962,0.6916688681,0.4597529173,-0.1663697213,0.6198439002,0.5056580901,-0.2027404159,0.5713464022,0.5276448727,-0.1938809752,0.6311463714,0.5649790764,-0.05610592291,0.6928650737,0.5499141812,-0.1577584743,0.6169142723,0.5763181448,-0.1905534267,0.5637905598,0.5851525068,-0.1756137908,0.6332724094,0.6318275928,-0.05952176079,0.674957633,0.6272786856,-0.1323034763,0.6235957742,0.6314079762,-0.1523750126,0.5834774375,0.6260317564,-0.1397679597,6
D:\Thesis\Sarwar\Sign 6\Image frames\Sign_6 - Frame (10).jpg,0.4661383927,0.6237326264,-5.42E-05,0.4420140982,0.5074617863,-0.07265906036,0.4740673006,0.3980856538,-0.1043310389,0.5061182976,0.3123432398,-0.1317089647,0.5228478312,0.2299877703,-0.154534325,0.5950102806,0.4315832853,-0.06047259271,0.6630325913,0.3861764669,-0.1402461231,0.6096041203,0.4370126128,-0.1721205413,0.5605834723,0.4769238234,-0.1723021865,0.6195542216,0.5025333762,-0.05373332277,0.6940702796,0.4624087811,-0.1529897004,0.6226263046,0.5033404827,-0.1883542687,0.5710021257,0.5265964866,-0.1820018589,0.6293683052,0.5718467832,-0.05767361075,0.6929997206,0.5514968634,-0.1489516348,0.6178284883,0.5740870833,-0.1784048826,0.5649105906,0.5842016339,-0.1662522107,0.6297497153,0.6372385025,-0.06538794935,0.6713483334,0.6325092316,-0.1331375241,0.6201092005,0.6338484287,-0.1551728547,0.5805479288,0.6281591058,-0.1469163448,6
