Single Image Frame,x00,y00,z00,x01,y01,z01,x02,y02,z02,x03,y03,z03,x04,y04,z04,x05,y05,z05,x06,y06,z06,x07,y07,z07,x08,y08,z08,x09,y09,z09,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Label
G:\7\x (1).jpg,0.5993292331695557,0.589652955532074,-3.41964878316503e-05,0.5399905443191528,0.569920003414154,-0.12095171213150024,0.502274751663208,0.5428503751754761,-0.20272745192050934,0.4777570068836212,0.5296999216079712,-0.2720068395137787,0.4405292272567749,0.5254966020584106,-0.34833064675331116,0.5488061904907227,0.4671398401260376,-0.1420319527387619,0.5514177083969116,0.40861326456069946,-0.26387453079223633,0.5570957660675049,0.37889501452445984,-0.3359370827674866,0.570916473865509,0.34628528356552124,-0.36750850081443787,0.6079253554344177,0.47717443108558655,-0.12615516781806946,0.6297932863235474,0.4435691237449646,-0.27568385004997253,0.5952253937721252,0.5040163993835449,-0.2767200469970703,0.5738890171051025,0.5145631432533264,-0.2264200747013092,0.6598663926124573,0.49925824999809265,-0.12815631926059723,0.6873699426651001,0.4754891097545624,-0.2575666308403015,0.6419177055358887,0.5264682769775391,-0.24782058596611023,0.6210753321647644,0.5311314463615417,-0.1997586488723755,0.7017499804496765,0.5243822932243347,-0.14046134054660797,0.7249104380607605,0.5161710977554321,-0.22941748797893524,0.6820597648620605,0.5462630391120911,-0.2179006189107895,0.6575537919998169,0.5473048090934753,-0.1780051589012146,7
G:\7\x (2).jpg,0.5882541537284851,0.6264220476150513,3.944235140806995e-05,0.5084898471832275,0.591518223285675,-0.11099804192781448,0.4538825750350952,0.5245715379714966,-0.1638716757297516,0.41013962030410767,0.4708060920238495,-0.20657791197299957,0.3574920892715454,0.43640685081481934,-0.2345859408378601,0.5699731111526489,0.4376313090324402,-0.08377549052238464,0.5943189263343811,0.3503308892250061,-0.18065571784973145,0.6164597272872925,0.28918522596359253,-0.2458980679512024,0.6479461193084717,0.23195995390415192,-0.28580179810523987,0.6360769867897034,0.4615647792816162,-0.07461763173341751,0.6742460131645203,0.41500622034072876,-0.23132911324501038,0.6288450360298157,0.49098101258277893,-0.2332080900669098,0.6076138019561768,0.5131093859672546,-0.1737443208694458,0.693810224533081,0.4961238205432892,-0.08393461257219315,0.7341824769973755,0.45632874965667725,-0.2400422990322113,0.6753912568092346,0.5179277658462524,-0.2327297031879425,0.6535768508911133,0.5274273157119751,-0.17399241030216217,0.7429226636886597,0.5352348685264587,-0.10444995015859604,0.7771195769309998,0.49939388036727905,-0.20361551642417908,0.7259855270385742,0.5368204116821289,-0.1962851583957672,0.7043625712394714,0.5437909364700317,-0.15211984515190125,7
G:\7\x (3).jpg,0.49308231472969055,0.6444976329803467,8.723111022845842e-06,0.41303330659866333,0.617143988609314,-0.10490362346172333,0.37289750576019287,0.5502748489379883,-0.15823152661323547,0.3454101085662842,0.49180272221565247,-0.19905473291873932,0.3039330542087555,0.44658052921295166,-0.2277313768863678,0.4946749210357666,0.464234858751297,-0.07453952729701996,0.5247586965560913,0.37868884205818176,-0.1619303822517395,0.5501409769058228,0.3222389221191406,-0.21459774672985077,0.5845645070075989,0.27162861824035645,-0.24490751326084137,0.5564741492271423,0.49234235286712646,-0.06304246187210083,0.5913113355636597,0.4468470513820648,-0.21242770552635193,0.5366331338882446,0.519659161567688,-0.20778614282608032,0.5184524655342102,0.5434055924415588,-0.14446714520454407,0.6097243428230286,0.5293664932250977,-0.06865258514881134,0.644274890422821,0.4886810779571533,-0.2196432501077652,0.5789496898651123,0.5488652586936951,-0.2072630226612091,0.562411367893219,0.5629144310951233,-0.14617721736431122,0.658185601234436,0.5689378976821899,-0.08293703943490982,0.6895168423652649,0.533369243144989,-0.18415147066116333,0.6326828002929688,0.5686497688293457,-0.17321647703647614,0.6137346029281616,0.5798888802528381,-0.12583184242248535,7
G:\7\x (4).jpg,0.48830080032348633,0.6511037349700928,-0.00011110819468740374,0.40503638982772827,0.6031388640403748,-0.0712956041097641,0.36337417364120483,0.5180610418319702,-0.09664463996887207,0.334541380405426,0.4522407054901123,-0.11663809418678284,0.30023157596588135,0.4126089811325073,-0.11435799300670624,0.5028897523880005,0.4472509026527405,-0.03507250174880028,0.5424549579620361,0.3562220335006714,-0.1219651848077774,0.5725329518318176,0.29841017723083496,-0.17624272406101227,0.6108896732330322,0.24612417817115784,-0.2064439207315445,0.5609304904937744,0.47849199175834656,-0.03876151144504547,0.5953027606010437,0.4293680489063263,-0.1848050355911255,0.5381519794464111,0.5064133405685425,-0.1816956102848053,0.5219732522964478,0.5334595441818237,-0.1278768628835678,0.6111629009246826,0.5148338079452515,-0.062149420380592346,0.6422345638275146,0.4741686284542084,-0.21102537214756012,0.5775109529495239,0.5398474931716919,-0.19654062390327454,0.563886821269989,0.5578541159629822,-0.13850319385528564,0.6588146090507507,0.5556911826133728,-0.09254000335931778,0.6885571479797363,0.5144784450531006,-0.1858758181333542,0.6358705759048462,0.5534651875495911,-0.1769629418849945,0.6221603751182556,0.5688791275024414,-0.13901565968990326,7
G:\7\x (5).jpg,0.529632568359375,0.6512764692306519,-0.00014458669465966523,0.4474441707134247,0.5953196287155151,-0.06389585137367249,0.4044508635997772,0.5104215741157532,-0.08610428124666214,0.37478750944137573,0.44422647356987,-0.1060500368475914,0.3436739444732666,0.39910462498664856,-0.10155665874481201,0.5463728308677673,0.4402185380458832,-0.031450264155864716,0.58865886926651,0.34901297092437744,-0.10934676975011826,0.6194798946380615,0.2915850579738617,-0.16210032999515533,0.6574165225028992,0.24042807519435883,-0.19373629987239838,0.6037923693656921,0.47190967202186584,-0.03710554912686348,0.6401192545890808,0.4254184067249298,-0.17691649496555328,0.5821970105171204,0.4996049404144287,-0.18034282326698303,0.561985433101654,0.5242037773132324,-0.13482363522052765,0.6528273820877075,0.5080869197845459,-0.060634590685367584,0.68760085105896,0.46789032220840454,-0.1998210996389389,0.6221874952316284,0.5315667986869812,-0.19002534449100494,0.6042202115058899,0.5474549531936646,-0.13929659128189087,0.6986742615699768,0.5491902232170105,-0.08863017708063126,0.7314236760139465,0.5094522833824158,-0.17730571329593658,0.6768866777420044,0.5472050905227661,-0.17317146062850952,0.6585863828659058,0.5613301992416382,-0.1424238383769989,7
G:\7\x (6).jpg,0.5719462633132935,0.7023225426673889,-1.7159129129140638e-05,0.47551631927490234,0.6608941555023193,-0.11254450678825378,0.3954300284385681,0.5697819590568542,-0.15714643895626068,0.3367902338504791,0.48930084705352783,-0.20112130045890808,0.2663555443286896,0.4292432963848114,-0.22206859290599823,0.5246515870094299,0.4600430130958557,-0.0774044618010521,0.5546979308128357,0.35273420810699463,-0.16649559140205383,0.5782836675643921,0.28459280729293823,-0.22722309827804565,0.6074236035346985,0.21825093030929565,-0.262296199798584,0.5935475826263428,0.4807710349559784,-0.06772290170192719,0.6560335159301758,0.4437449276447296,-0.23133942484855652,0.6056550741195679,0.5313025712966919,-0.24159573018550873,0.573628306388855,0.5427911281585693,-0.18829046189785004,0.6589271426200867,0.5097442865371704,-0.08359470963478088,0.7235643267631531,0.48018112778663635,-0.2493695169687271,0.6634255647659302,0.5566344857215881,-0.25422245264053345,0.6316351890563965,0.5593169331550598,-0.2074686884880066,0.7154608964920044,0.5433039665222168,-0.10956545174121857,0.7672803997993469,0.5131546258926392,-0.21435241401195526,0.7161267995834351,0.565239429473877,-0.22574853897094727,0.6864912509918213,0.5709207057952881,-0.20071224868297577,7
G:\7\x (7).jpg,0.5212093591690063,0.6727004647254944,-5.799476275569759e-05,0.43604254722595215,0.6375031471252441,-0.07401042431592941,0.3912245035171509,0.5542914271354675,-0.10865581035614014,0.36725157499313354,0.4889717102050781,-0.14020849764347076,0.33223623037338257,0.4413013458251953,-0.15735983848571777,0.5218064188957214,0.4808562695980072,-0.051195550709962845,0.5643238425254822,0.38944315910339355,-0.14232076704502106,0.5952544808387756,0.3312094211578369,-0.19659119844436646,0.6353684067726135,0.27829909324645996,-0.2224472612142563,0.584112286567688,0.5068280696868896,-0.05135733634233475,0.6088080406188965,0.4555000066757202,-0.19581806659698486,0.5556654930114746,0.529422402381897,-0.18906593322753906,0.5446335673332214,0.5568763613700867,-0.12312233448028564,0.6391724944114685,0.5422592759132385,-0.07017212361097336,0.6593414545059204,0.5010471343994141,-0.21801643073558807,0.5999535322189331,0.5660008192062378,-0.20741823315620422,0.5899782180786133,0.584628701210022,-0.14600937068462372,0.6927722692489624,0.5823327898979187,-0.09540370106697083,0.7089563012123108,0.5392935276031494,-0.1864633560180664,0.6561307311058044,0.5791164040565491,-0.17604613304138184,0.6451730728149414,0.5946652293205261,-0.13553345203399658,7
G:\7\x (8).jpg,0.5098695755004883,0.6574722528457642,-0.0001336216228082776,0.4240412414073944,0.6079782247543335,-0.058484144508838654,0.38160544633865356,0.5229500532150269,-0.07904088497161865,0.35592320561408997,0.45689520239830017,-0.09727863222360611,0.32468217611312866,0.4125605523586273,-0.09685257077217102,0.52053302526474,0.448758989572525,-0.03273993358016014,0.5602241158485413,0.3599398136138916,-0.10179132223129272,0.5903921723365784,0.30398795008659363,-0.14616240561008453,0.6278891563415527,0.2540511190891266,-0.1740284115076065,0.5801379084587097,0.4775434136390686,-0.03937659040093422,0.6155024766921997,0.4301949143409729,-0.1653410643339157,0.5601322054862976,0.503468930721283,-0.1724819540977478,0.5389484167098999,0.5330362319946289,-0.13150952756404877,0.6308339238166809,0.5132231712341309,-0.06091174855828285,0.6611196398735046,0.474864661693573,-0.187538743019104,0.5987541079521179,0.5387182831764221,-0.18500927090644836,0.5805991291999817,0.5583746433258057,-0.14083530008792877,0.6794918179512024,0.5533490777015686,-0.08695903420448303,0.7067594528198242,0.5124933123588562,-0.16869544982910156,0.6552116870880127,0.5514991283416748,-0.1661967635154724,0.6377673149108887,0.5682053565979004,-0.13699373602867126,7
G:\7\x (9).jpg,0.5497409701347351,0.6502004265785217,-3.115702565992251e-05,0.45718836784362793,0.6118392944335938,-0.05919637903571129,0.405714213848114,0.5336755514144897,-0.08496064692735672,0.3706974983215332,0.4699229300022125,-0.10897413641214371,0.3280043303966522,0.43055421113967896,-0.1138647124171257,0.5348348617553711,0.4493425488471985,-0.0195908322930336,0.5673116445541382,0.3582751452922821,-0.09008397907018661,0.5883129835128784,0.30104750394821167,-0.12714295089244843,0.6150392889976501,0.24853132665157318,-0.1458515077829361,0.5963392853736877,0.4745132625102997,-0.02560499496757984,0.6178106069564819,0.42252063751220703,-0.1515907496213913,0.5750596523284912,0.4956496059894562,-0.14621023833751678,0.566912829875946,0.520517885684967,-0.09219612181186676,0.6502231955528259,0.505382776260376,-0.04933523014187813,0.6716715693473816,0.4623604416847229,-0.1798120141029358,0.6191385388374329,0.526794970035553,-0.16837941110134125,0.6101475358009338,0.5447672009468079,-0.11754269152879715,0.7033573389053345,0.5414949655532837,-0.08027439564466476,0.7246659398078918,0.4971676766872406,-0.16390295326709747,0.678722620010376,0.5376678705215454,-0.16211816668510437,0.6661781668663025,0.5548871755599976,-0.13332460820674896,7
G:\7\x (10).jpg,0.5507735013961792,0.6411089897155762,-8.612593228463084e-05,0.46798011660575867,0.6116831302642822,-0.08680631965398788,0.4223882257938385,0.5347428917884827,-0.11522071808576584,0.38741225004196167,0.4725969135761261,-0.1308070868253708,0.34581971168518066,0.4330371022224426,-0.12976472079753876,0.5570310354232788,0.45403093099594116,-0.04918677359819412,0.5844480395317078,0.3680444657802582,-0.13233241438865662,0.6110801100730896,0.31241339445114136,-0.1907670497894287,0.648066520690918,0.26111429929733276,-0.22584186494350433,0.6165237426757812,0.47932514548301697,-0.042690712958574295,0.6524168848991394,0.43522512912750244,-0.18551455438137054,0.6026687622070312,0.5080677270889282,-0.18952694535255432,0.5817708969116211,0.5348641276359558,-0.14050118625164032,0.6682121157646179,0.5142117142677307,-0.051830604672431946,0.7020442485809326,0.47799789905548096,-0.1981845498085022,0.6400042772293091,0.5413203239440918,-0.1933601200580597,0.6195952296257019,0.557331919670105,-0.1387246549129486,0.7146431803703308,0.5537946224212646,-0.06817948818206787,0.744398832321167,0.5205000638961792,-0.16493745148181915,0.6895754933357239,0.5577375888824463,-0.15617118775844574,0.6683971285820007,0.5687522888183594,-0.11344703286886215,7
