,estimator_name,metric_name,metric_value,fit_predict_time,components_count
0,My KMeans,ari,0.249682439142699,0.27290953700139653,10
1,My KMeans,ami,0.4857237040069586,0.2407596739976725,10
2,My KMeans,fmi,0.34134351465400126,0.23787210999944364,10
3,My KMeans,ari,0.2500335769940549,0.20234435999736888,20
4,My KMeans,ami,0.4873790376310766,0.21026489099676837,20
5,My KMeans,fmi,0.3421557343360961,0.20390898400000879,20
6,My KMeans,ari,0.2498814655878192,0.5380545789994358,60
7,My KMeans,ami,0.4872702060135372,0.5249860599979002,60
8,My KMeans,fmi,0.3420237560117479,0.5316382109995175,60
0,Sklearn KMeans,ari,0.22278924424538943,0.07809143499980564,10
1,Sklearn KMeans,ami,0.4419026770650295,0.07739860099900397,10
2,Sklearn KMeans,fmi,0.3200506279105237,0.08307795799919404,10
3,Sklearn KMeans,ari,0.24463266740609677,0.021198251000896562,20
4,Sklearn KMeans,ami,0.46949260509940105,0.01953802000207361,20
5,Sklearn KMeans,fmi,0.33509659219620025,0.07807632299955003,20
6,Sklearn KMeans,ari,0.23306991593322987,0.0962324020001688,60
7,Sklearn KMeans,ami,0.45310495374076215,0.09348476599916467,60
8,Sklearn KMeans,fmi,0.32574751710909733,0.09319164800035651,60
0,DBSCAN,ari,0.08392567553025136,0.4456867489971046,10
1,DBSCAN,ami,0.2657596666677455,0.4359211470000446,10
2,DBSCAN,fmi,0.31608541725157124,1.1176774710002064,10
3,DBSCAN,ari,0.10831319017990307,0.074977841002692,20
4,DBSCAN,ami,0.34831291925461977,0.07701801999792224,20
5,DBSCAN,fmi,0.31608541725157124,0.8400140429985186,20
6,DBSCAN,ari,0.10728662198891332,0.12185218499871553,60
7,DBSCAN,ami,0.3483048548836042,0.12790954299998702,60
8,DBSCAN,fmi,0.31608541725157124,0.8678218969980662,60
0,My KMeans,ari,0.249682439142699,0.24354348799897707,10
1,My KMeans,ami,0.4857237040069586,0.2463557659975777,10
2,My KMeans,fmi,0.34134351465400126,0.22644775599837885,10
3,My KMeans,ari,0.2500335769940549,0.20264500100165606,20
4,My KMeans,ami,0.4873790376310766,0.19706171600046218,20
5,My KMeans,fmi,0.3421557343360961,0.20755436200124677,20
6,My KMeans,ari,0.2498814655878192,0.541395817999728,60
7,My KMeans,ami,0.4872702060135372,0.5279490489992895,60
8,My KMeans,fmi,0.3420237560117479,0.5250962150021223,60
0,Sklearn KMeans,ari,0.22278924424538943,0.1067924380004115,10
1,Sklearn KMeans,ami,0.4419026770650295,0.030615104002208682,10
2,Sklearn KMeans,fmi,0.3200506279105237,0.0778155180014437,10
3,Sklearn KMeans,ari,0.24463266740609677,0.07806089999940014,20
4,Sklearn KMeans,ami,0.46949260509940105,0.07974902999922051,20
5,Sklearn KMeans,fmi,0.33509659219620025,0.08914628400088986,20
